MEDIA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/Hours
1,ACTION  MULTIMEDIA,45 Mount Zion Road Calabar,"08038021458, 08055584346",Media {Photography},,,"Photos, Video Coverage, Video Editing, Plastic I.D Card",,,Mondays - Saturdays 8am - 6pm
2,AMAZING GRACE DIGITAL,"17B Etonko Street, Calabar",08087902006 07068928269,Photography & Video Coverage,,,"Digital Photography, Video & Event Coverage",,,Mondays - Sundays 24hrs
3,ARCELLE MEDIA," Road 2, No. 83 Federal Housing Estate, Calabar",08037819565 08032412490,Photography & Make-up,,,Photography & Make-up,arcellemedia@gmail.com,www.arcellemedia.com,
4,BIG GOD A.V STUDIO,"32  Edim Otop Street, Calabar",08075521650 07062455590,Video/Photography Consultant,,,"Photography, Event Mgt, Video Coverage ",,,Mondays - Saturdays 8am - 7pm
5,BLESSED DIGITAL STUDIOS,54B Mountzion Road Calabar,08032074731,Photography,,,Indoor& Outdoor Photos,,,Mondays - Saturdays 8am - 6pm
6,BRAIN WORKS FILM COMPANY,"159 Old Odukpani Road, Calabar",08064435218,"Movie, Music & Video Production",,,,brainworksfilm001@yahoo.com,,Mondays - Saturdays 8am - 6pm
7,CALILEE DIGITALS,"168 Goldie Street, Calabar","08038833901, 08188991779",Arts & Painting,,,"T-Shirt Branding, Invitation Cards",,,Mondays - Saturdays 8am - 7pm
8,COKSY DIGITAL PICTURES,"8 Chalmer Street, Calabar",08034168530,"Photography, Video Coverage",,,"Photography, Video Coverage, Event Management",,,Mondays - Saturdays 8am - 6.30pm
9,CREATIVE FINGERS (CF PLUS +),"9 Bassey Edim off Ediba Road, Calabar",08067205645 08162571425,Corporate Branding & Printing,,,"Corporate Branding, Graphic Designs & Printing",inquiry@creativefingers.com.ng,www.creativefingers.com.ng,Mondays - Saturdays 8am - 6pm
10,CYBER SNAPPY,"1 Asim Ita Close by Unical Small Gate, Calabar",08069373645,Photo/Video Coverage,,,"Passport, Pictures, Video Coverage",,,Mondays - Saturdays 8am - 7pm
11,DIAMOND DIGITAL PRINT,"47 Palm Street, Calabar",07032594069 0818522846,Digital Image Production,,,"Photograph, Video Coverage, Computer Training",diamonddigitalprint@yahoo.com,,Mondays - Saturdays 8am - 8pm
12,EDDYLIZ NIGERIA,"89 Ndidem Usang Iso Road by Old Ikang, Calabar.",09032176115 08136293408,Media & Entertainment,,,"Photography, Video Coverage, Plastic Id Cards",,www.eddylizng.com,Mondays - Saturdays 8am - 6pm       Sundays   10am - 6pm
13,FOTOBASS CREW,Mobile Service,08132218160 09090186922,Event Coverage,,,Photographic & Video Coverage,uweh.bassey@yahoo.com,,24 hrs
14,FOTOSAARP DIGITAL WORLD,"25 Mission Road, Igoli-Ogoja",0803739987,Photography & Event Coverage,,,"Passport, Photograph, Video ",,,Mondays - Saturdays 8am - 10pm
15,FREEDOM IMPRESSION DIGITAL STUDIO,"75 Edim Otop Street, Calabar",08035538248,Photography & Video Coverage,,,"Photography, Video Coverage & Typesetting",,,Mondays - Saturdays 8am - 7pm
16,GLAMOUR PICTURE,"47/51 Afokang Street, Calabar",08063409619,Photography & Video Production,,,Photography & Video Production,,,Mondays - Saturdays 8am - 5pm
17,GOLD EVENT MANAGERS,"375 Murtala Mohammed Highway, Calabar",08025573586 08093122320,"Video Coverage, Tent, Canopies, Bridal Seat",,,,,,Mondays - Sundays   24 Hrs
18,ID FOTOS & VIDEO WORLD,"9 Obudu Road, Ikom",08032367761,"Passport, Snapshort, Video Coverage",,,"Passport, Snapshort, Video Coverage",,,Mondays - Saturdays 8am - 7pm
