AUTOMOBILE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/Date,Branch Offices,Product /Services,Email,Website,Business Days/ Hours
1,AC BRIGHT MOTORS,"30 Ndidem Usang Iso Road, Calabar",,General Automobile Tear Rubber Car,,,"Toyota, Honda, Ford, Volkswagen, Benz",www.acbrightmotorslimited@yahoo.com,,Mondays - Saturdays 8am - 6pm
2,BRIGHT AUTO SPARE PARTS,"7 White House Street, Calabar",08073339563,Japanese Spare Parts,,,,,,Mondays - Saturdays 8am - 5pm
3,BROWN MOTORS LTD,"33 Ndidem Usang Iso Road, Calabar",08034080299,Automobile Dealers,,,"Jeep, Trucks, Cars",,,Mondays - Saturdays 8am - 6pm
4,BONNY BENZ MOTORS,"12 Bedwell Street, Calabar",08037261307,Mercedez Spare Parts,,,"Shocks, Brain box, all Benz Parts",,,Mondays - Saturdays 8am - 6pm
5,CHIDON INT'L LTD,"16 Bedwell Street, Calabar",07037153276 08068131803,Car Parts,,,,,,Mondays - Saturdays 
6,CHISOM TRADING COMPANY,"21 Victor Akan/45 Bedwell Street, Calabar",08039542833 07034276860,"Mercedez, Volvo Spare Parts",,,"Car Repairs, Sale of Spare Parts",,,Mondays - Saturdays 8am - 7pm
7,CHUKWU OBI (NIG) COMP,"22 Bedwell Street, Calabar",08037122260 07055132093,Truck Spare Parts,,,"Car Filter, SINO",,,Mondays - Saturdays 8am - 6pm
8,CIOKEN AUTOMOBIL INT'L NIGERIA LTD,"11 White House Street, Calabar",08121088976 0803593815,Car Spare Parts,,,"Toyota, Honda, Mitsubishi",,,Mondays - Saturdays 8am - 5pm
9,DAN-ARK MOTORS NIG.,"22 Bedwell Street, Calabar",07033365139 08058950346,"Nissan, Mazda, Isuzu, Honda Spare Parts",,,"Nissan, Mazda, Isuzu, Honda Spare Parts",,,Mondays - Saturdays 7am - 6pm
10,EASY MECHANICAL ENGINEERING,"Ikot Uduak Street by Timber Market, Calabar",08051264666,Car Repairs,,,Car Repairs,,,Mondays - Saturdays 8am - 6pm
